module_i_d,p_material,n_material,element_thickness,element_count,module,expected,notes
Module I.D.,I.D.,I.D.,Element Thickness,Element Count,R (mW),R (mW),Notes
HHM-06,HH,HH,2.02,"49P, 49N",890,934,previous work
BTM-01,JH-1-28AB,n/a,2.06,4,87.4,92.5,
BTM-02,n/a,JH-1-33AB,2.06,4,325,317,
BTM-03,n/a,JH-1-36AB,1.8,4,352,62.4,
BTM-04,n/a,JH-1-36AB,1.8,4,152,62.4,
BTM-05,JH-1-31AB,n/a,2.06,4,91,70.2,
BTM-06,JH-1-31AB,n/a,2.06,4,89.9,70.2,
BTM-07,n/a,JH-1-33AB,1.8,4,87.5,317,
BTM-08,n/a,JH-1-36AB,1.8,4,164,62.4,
BTM-09,JH-1-31AB,JH-1-36AB,1.8,"1P, 1N",99.7*,112,"total resistance, includes both Joule and Peltier protions"
